"file","line","level","heading","file_type","placement_verdict","placement_rationale","order_verdict","order_rationale","cluster_id","canonical_target","axis_verdict","dedup_action","nuance_items_retained","nuance_loss_risk","nuance_retention_status"
"AGENTS.md","380","2","Workflow Source Contracts","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","406","2","Role Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","432","2","AI Model Level Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","451","2","Agent Profiles","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","469","3","Profile Catalog","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","480","3","Parameter Glossary","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","489","3","Riders (Behavioral Archetypes)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","498","3","Profile to Role Mapping","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","511","2","Context Management","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","518","3","Shared Access","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","534","3","Storage Locations","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","542","3","Update Cadence","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","553","2","Response Thrift","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","563","2","Thriftiness Pass","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","572","2","Selfcheck Loop (Completion Gate)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","600","2","Workspace Topology","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","622","2","Folder Structure","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","634","2","Quick References","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","643","2","Canonical References","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CHANGELOG.md","1","1","Changelog","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CHANGELOG.md","8","2","[Unreleased]","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CHANGELOG.md","12","2","[0.1.0] - 2026-02-27","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CODE_OF_CONDUCT.md","10","1","Code of Conduct","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CODE_OF_CONDUCT.md","12","2","Our Pledge","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CODE_OF_CONDUCT.md","20","2","Our Standards","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CODE_OF_CONDUCT.md","38","2","Enforcement","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CODE_OF_CONDUCT.md","47","2","Attribution","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","17","1","Contributing","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","19","2","For Humans","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","23","3","Deployment Model","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","34","3","How to Contribute","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","42","3","Quick Checklist","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","50","3","Monorepo Config Resolution","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","62","2","For Agents","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","85","2","Architecture Overview","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","87","3","Organizing Axes","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","94","3","Plugin Surface","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","127","3","Naming Conventions","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","140","2","Design Philosophy","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","153","2","Canonical References","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","167","2","For Maintainers","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","169","3","Environment and Tools","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","175","3","Authoring Rules","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","181","3","Naming and Layout","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","187","3","Profile and Subagent Management","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","196","3","Workflow Export Drift","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","207","3","Pull Requests","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"CONTRIBUTING.md","215","3","Questions","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","18","1","HUMANS - Start Here","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","25","2","Core Concepts","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","79","2","Axes At A Glance","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","86","3","Quality Axes Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","102","3","Quality Checklist (Pre-Completion)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","111","2","Work Family Artifact Hierarchy","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","139","3","Work Family Support Artifacts","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","147","3","Conditional Work Artifacts","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","153","2","Run Family Artifact Hierarchy","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","182","3","Run Family Support Artifacts","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","190","3","Work vs Run Family","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","196","2","Authority Levels","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","201","3","Authority Levels Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","211","3","Work Artifact Structure","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","220","3","Authority Flow","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","247","3","Safe Default Rule","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","252","2","What Artifacts Get Created (Typical)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","264","2","Context Management","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","271","3","Shared Access","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","287","3","Storage Locations","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","295","3","Update Cadence","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","304","2","Mini Glossary","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","315","2","Quick Start","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","339","2","First Session (5 minutes)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","341","3","1) Pick a setup path","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","360","3","2) Start working","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","365","3","3) Checkpoint or finish","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","371","3","Install mechanics","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","392","2","Agent Profiles and Customization","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","397","3","`/customize` — declare your models and reasoning defaults","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","409","3","`/profiles` — tune agent behavioral posture","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","432","4","Rider archetypes","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","443","4","Profile catalog","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","461","2","Command Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","463","3","Core loop","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","472","3","Review and cleanup","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","481","3","Utilities","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","495","2","Governed Mode (other repos)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","504","2","Troubleshooting","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","515","2","Learning More","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","527","2","Quick Reference Appendix","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","529","3","Command roles","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","538","3","Role Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","561","3","Supported tool surfaces","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","569","2","For Developers","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"HUMANS.md","574","2","Design Tests","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","18","1","ai_ops","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","24","2","The problem","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","29","2","The solution","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","38","2","Deployment model","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","45","2","What ai_ops Is / Is Not","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","60","2","What ai_ops does","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","78","2","Start Here","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","89","2","Organizing Axes","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","95","3","Axes Diagram","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","113","3","Artifact Mapping by Axis","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","123","3","Key Principles","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","135","2","Authority Levels","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","140","3","Authority Levels Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","150","3","Work Artifact Structure","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","161","3","Safe Default Rule","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","166","2","Folder Structure","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","179","2","Commands","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"README.md","206","2","Quick References","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","10","1","Security Policy","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","12","2","Supported Versions","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","18","2","Reporting a Vulnerability","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","36","2","Expected Response","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","42","2","Scope","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"SECURITY.md","55","2","Contact","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","11","1","AI Assistant Setup","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","13","2","Purpose","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","17","2","How ai_ops Commands Work","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","29","2","Using Commands with Any AI Tool","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","31","3","Method 1: Natural Language (Recommended)","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","40","3","Method 2: Explicit File Reference","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","48","2","Modality Confirmation (Required)","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","66","2","Directory Naming Contract","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","72","2","Choose Install Scope","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","74","3","Option A: Workspace-level install (recommended)","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","87","3","Option B: Per-repo install","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","97","2","Pre-Write Verification (Maintainer Lane)","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","114","2","Tool-Specific Notes","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","116","3","Claude Code","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","141","3","Codex (CLI + VS Code Extension)","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","164","3","Cursor","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","179","3","Gemini CLI","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","199","3","GitHub Copilot Chat","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","205","3","Antigravity","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","213","3","Aider / Cline","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","217","2","Available Commands","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","236","2","Direct Support Targets","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","250","2","Notes","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","267","2","Setup Smoke Matrix","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","272","2","Canonical Release-Quality Gate","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/README.md","283","2","Adapter Format Versioning","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","11","1","Setup: Antigravity","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","19","2","Overview","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","26","2","Requirements","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","32","3","Example Workflow File","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","49","2","Setup Verification","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","58","2","Maintenance","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/setup/setup_antigravity.md","64","2","Troubleshooting","document","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","39","1","/ai_ops_setup","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","41","2","Intent","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","45","2","Setup Contract (Mandatory)","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","56","2","Modality Confirmation (Mandatory)","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","84","2","Inputs","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
".ai_ops/workflows/ai_ops_setup.md","90","2","Model Availability Note","workflow","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
